b'\xef\xbb\xbfDate, Open, High, Low, Close, Volume
9-May-17,178.90,183.59,178.36,182.98,3479371
8-May-17,178.50,178.54,176.68,177.47,2407935
5-May-17,176.30,178.30,174.77,178.03,2328167
4-May-17,177.89,178.00,176.28,176.71,2129420
3-May-17,179.01,179.01,176.90,177.40,2017176
2-May-17,180.10,180.40,178.00,178.64,2431537
1-May-17,180.45,181.17,177.19,180.06,3486976
28-Apr-17,181.08,182.96,176.07,180.23,7429414
27-Apr-17,187.81,188.60,186.10,187.86,3169531
26-Apr-17,187.90,188.00,184.90,186.67,2895025
25-Apr-17,182.86,187.50,182.33,186.99,3750270
24-Apr-17,180.00,180.65,179.54,180.03,1908395
21-Apr-17,180.40,180.40,177.86,178.08,1628684
20-Apr-17,178.99,180.38,178.41,178.64,2478452
19-Apr-17,175.62,181.18,175.34,177.81,3998405
18-Apr-17,173.31,174.56,172.07,174.47,1806933
17-Apr-17,172.61,173.80,172.61,173.31,1366346
13-Apr-17,173.55,174.76,172.46,172.61,1336652
12-Apr-17,172.47,174.87,172.33,173.61,1205365
11-Apr-17,173.97,175.24,172.58,173.01,1844498
10-Apr-17,172.30,174.68,172.17,174.22,1701045
7-Apr-17,173.68,173.94,171.17,172.44,1963453
6-Apr-17,173.80,174.73,173.04,173.38,2057916
5-Apr-17,175.35,176.31,172.46,172.92,2187201
4-Apr-17,174.76,176.66,174.13,175.20,1899157
3-Apr-17,173.00,175.90,173.00,175.00,2352436
31-Mar-17,171.46,173.95,171.46,172.52,2537027
30-Mar-17,171.71,172.62,171.17,172.36,2381167
29-Mar-17,170.00,172.10,169.34,170.66,1510553
28-Mar-17,168.93,170.67,168.58,169.79,2059211
27-Mar-17,166.23,170.67,166.00,168.93,2047843
24-Mar-17,170.39,170.47,167.85,168.26,2157618
23-Mar-17,168.75,170.02,167.25,169.61,2847655
22-Mar-17,169.82,169.82,167.75,169.56,3482635
21-Mar-17,177.50,177.70,170.27,171.40,3351286
20-Mar-17,177.10,177.86,174.59,176.13,1829136
17-Mar-17,176.89,178.86,176.18,176.62,2017421
16-Mar-17,173.54,177.55,173.40,176.57,4043595
15-Mar-17,173.01,173.31,170.42,172.04,2651259
14-Mar-17,173.00,173.50,172.01,172.84,1015521
13-Mar-17,172.89,174.11,172.50,173.25,1549438
10-Mar-17,173.55,173.91,171.93,172.74,1802656
9-Mar-17,174.03,175.20,172.94,173.32,1943441
8-Mar-17,173.81,175.30,173.30,173.87,1228548
7-Mar-17,172.77,174.00,171.24,173.74,1366521
6-Mar-17,174.15,174.15,172.38,173.30,1223564
3-Mar-17,174.53,175.70,173.28,173.79,1116088
2-Mar-17,175.33,176.49,172.97,174.48,2108826
1-Mar-17,176.44,176.79,175.13,175.33,1799147
28-Feb-17,172.80,175.92,172.80,174.13,2391959
27-Feb-17,175.17,176.28,171.73,172.97,3521219
24-Feb-17,181.00,181.75,173.91,175.17,7533961
23-Feb-17,187.89,188.54,183.91,184.64,3812898
22-Feb-17,185.00,187.98,184.97,186.01,2698616
21-Feb-17,185.23,185.93,183.31,185.62,3465443
17-Feb-17,183.92,185.21,183.33,185.17,1623035
16-Feb-17,183.62,186.75,182.77,184.94,2301972
15-Feb-17,183.65,185.14,182.81,183.58,1203410
14-Feb-17,184.01,185.66,182.28,182.77,1932010
13-Feb-17,184.50,185.44,183.33,184.31,2428530
10-Feb-17,182.58,184.16,181.21,183.99,2149763
9-Feb-17,181.23,183.46,181.06,181.50,1743656
8-Feb-17,179.16,182.41,177.53,181.50,2114234
7-Feb-17,179.58,179.60,176.75,178.17,1535153
6-Feb-17,175.79,179.08,175.15,177.81,2320900
3-Feb-17,174.96,176.59,173.56,175.17,1578073
2-Feb-17,173.51,175.18,172.46,173.40,962577
1-Feb-17,176.73,176.73,172.55,173.82,1216389
31-Jan-17,173.68,176.18,173.01,175.07,1325773
30-Jan-17,173.16,174.97,171.72,174.72,1358907
27-Jan-17,175.00,175.00,173.22,174.10,1575709
26-Jan-17,177.65,177.67,174.65,174.95,2194244
25-Jan-17,177.40,179.00,176.25,176.61,2123523
24-Jan-17,177.70,179.00,175.50,176.05,1600396
23-Jan-17,173.94,176.18,173.28,175.97,2100583
20-Jan-17,175.30,176.46,173.13,173.44,2049233
19-Jan-17,176.84,176.84,174.43,176.09,1430469
18-Jan-17,178.59,180.78,174.73,176.54,2004995
17-Jan-17,175.58,178.28,174.49,176.96,2073222
13-Jan-17,178.00,178.71,176.36,176.48,1412152
12-Jan-17,178.80,179.47,175.66,177.57,2680211
11-Jan-17,179.57,180.18,176.80,179.32,1929935
10-Jan-17,179.83,183.00,178.30,180.31,2922259
9-Jan-17,178.00,179.72,176.82,177.16,1760353
6-Jan-17,176.28,177.28,173.25,176.38,2254733
5-Jan-17,172.65,177.84,172.50,177.47,2733032
4-Jan-17,169.74,173.26,168.30,171.96,2033163
3-Jan-17,166.30,169.66,165.82,168.30,2314669
30-Dec-16,166.76,167.23,163.56,164.41,1502967
29-Dec-16,165.61,167.59,165.46,166.50,1587144
28-Dec-16,165.12,167.01,164.76,165.54,1670154
27-Dec-16,163.63,166.47,163.07,164.77,940839
23-Dec-16,163.28,164.62,162.53,163.62,1049350
22-Dec-16,163.29,165.26,162.02,162.89,1496507
21-Dec-16,165.00,165.99,163.80,163.92,1342827
20-Dec-16,164.26,167.01,164.00,165.28,1506493
19-Dec-16,164.44,164.93,162.34,163.69,1927868
16-Dec-16,166.42,167.92,164.65,164.93,2368785
15-Dec-16,169.21,169.62,165.62,165.78,2031796
14-Dec-16,170.90,172.54,169.63,169.83,1497297
13-Dec-16,169.33,173.00,169.00,171.46,3171249
12-Dec-16,168.63,169.28,167.01,168.48,2932003
9-Dec-16,168.49,171.10,168.34,170.82,2375819
8-Dec-16,168.92,169.74,166.33,167.75,1944461
7-Dec-16,165.54,169.56,164.37,169.33,1857078
6-Dec-16,165.01,165.74,163.55,165.17,1280540
5-Dec-16,161.72,165.39,161.56,164.32,1413606
2-Dec-16,162.95,163.88,160.79,161.67,1948930
1-Dec-16,167.52,167.82,161.80,163.08,2275153
30-Nov-16,169.99,171.54,166.49,166.95,2579742
29-Nov-16,166.01,171.24,166.00,169.18,2548558
28-Nov-16,165.13,168.00,164.06,167.00,2219485
25-Nov-16,165.00,165.60,163.62,164.44,924899
23-Nov-16,163.36,164.64,161.69,163.63,1421499
22-Nov-16,167.50,167.50,163.56,164.47,1595324
21-Nov-16,165.00,167.25,164.50,165.69,1291108
18-Nov-16,165.93,167.00,163.92,164.38,1506655
17-Nov-16,167.51,168.35,165.52,166.21,1471882
16-Nov-16,164.21,168.41,163.14,166.74,2012591
15-Nov-16,163.99,167.98,163.80,164.44,1784839
14-Nov-16,160.61,164.73,160.61,161.73,1867697
11-Nov-16,162.39,164.43,159.54,162.95,3004096
10-Nov-16,168.91,169.12,162.00,163.47,3963350
9-Nov-16,166.50,168.84,165.40,168.66,3060914
8-Nov-16,171.60,172.00,169.42,170.92,1298237
7-Nov-16,171.40,172.78,170.18,171.56,2305766
4-Nov-16,166.44,169.42,166.00,167.70,2034593
3-Nov-16,168.00,172.00,168.00,168.57,2457471
2-Nov-16,173.55,173.55,167.51,168.78,3563579
1-Nov-16,176.75,177.35,172.29,173.49,2875032
31-Oct-16,178.17,182.64,176.08,176.86,3268813
28-Oct-16,180.74,185.20,179.27,179.59,6649171
27-Oct-16,173.47,176.54,172.61,175.10,3596026
26-Oct-16,175.00,175.20,172.33,172.82,2426521
25-Oct-16,181.99,181.99,176.07,176.68,1892955
24-Oct-16,178.77,181.20,177.78,180.86,2077164
21-Oct-16,174.80,177.50,173.84,176.76,2065109
20-Oct-16,175.75,176.25,174.01,175.17,1542989
19-Oct-16,177.50,177.50,174.70,176.20,920262
18-Oct-16,177.92,178.76,175.64,175.65,1627108
17-Oct-16,175.18,177.03,173.80,175.15,1338263
14-Oct-16,176.48,178.18,174.61,175.51,1800006
13-Oct-16,173.30,175.19,171.89,174.61,1698979
12-Oct-16,177.00,178.01,174.71,175.41,2165806
11-Oct-16,181.20,182.75,175.55,177.04,2932459
10-Oct-16,181.17,182.32,180.88,181.49,1308733
7-Oct-16,182.23,182.73,178.87,179.80,2386455
6-Oct-16,183.75,184.13,181.09,181.52,1757174
5-Oct-16,185.89,185.89,183.28,184.11,1481495
4-Oct-16,184.00,187.24,183.52,184.08,2132228
3-Oct-16,182.84,184.50,181.62,183.54,1743102
30-Sep-16,183.95,184.63,180.63,182.07,2183724
29-Sep-16,186.60,186.96,181.50,182.23,3628127
28-Sep-16,186.71,188.31,185.21,187.74,2488434
27-Sep-16,189.00,192.42,188.85,190.83,1606110
26-Sep-16,189.53,189.66,187.14,188.86,1860964
23-Sep-16,193.24,197.00,190.30,191.72,3252952
22-Sep-16,197.00,197.80,193.68,195.45,3619764
21-Sep-16,187.85,196.31,187.30,196.03,5742214
20-Sep-16,186.63,189.00,185.88,186.37,2414269
19-Sep-16,186.00,187.00,184.03,184.74,1910771
16-Sep-16,186.27,186.27,183.53,185.01,1919383
15-Sep-16,182.89,187.40,182.74,186.50,2110285
14-Sep-16,182.00,184.75,181.28,182.18,1978499
13-Sep-16,182.79,183.78,180.64,181.90,2413099
12-Sep-16,178.08,184.92,177.33,184.13,2779138
9-Sep-16,186.48,186.84,181.67,182.10,3597368
8-Sep-16,189.09,190.87,187.09,187.50,2383911
7-Sep-16,189.33,192.88,188.61,189.15,4265202
6-Sep-16,181.70,189.34,181.23,189.06,8176474
2-Sep-16,178.00,179.68,177.19,177.78,2139586
1-Sep-16,171.85,176.83,171.77,176.55,3608509
31-Aug-16,172.24,172.98,169.85,171.07,3050301
30-Aug-16,174.22,177.74,173.88,175.45,1947510
29-Aug-16,173.89,173.90,171.48,173.65,1655241
26-Aug-16,172.85,175.60,172.07,173.47,1439878
25-Aug-16,171.60,174.10,171.47,172.85,1340785
24-Aug-16,174.04,175.00,170.90,171.49,1673469
23-Aug-16,174.26,175.41,173.16,173.49,1803766
22-Aug-16,177.88,178.00,173.18,173.85,2766613
19-Aug-16,175.26,178.88,174.86,177.53,2906705
18-Aug-16,173.03,175.80,172.68,175.40,2535554
17-Aug-16,173.98,174.00,172.01,172.73,2426920
16-Aug-16,173.00,174.42,170.90,173.30,2642183
15-Aug-16,169.22,174.96,169.00,172.95,3448610
12-Aug-16,167.57,168.54,166.32,167.98,1840959
11-Aug-16,168.13,168.75,166.51,167.72,1551320
10-Aug-16,166.46,167.45,165.00,165.63,1449334
9-Aug-16,165.90,166.56,164.68,165.54,1298642
8-Aug-16,167.15,169.49,165.73,166.45,1769609
5-Aug-16,163.50,168.24,163.20,167.38,2991534
4-Aug-16,162.72,164.16,161.34,162.56,1748307
3-Aug-16,161.12,163.20,160.13,162.24,1740717
2-Aug-16,162.16,164.50,160.33,160.75,1850839
1-Aug-16,159.80,164.11,158.62,163.23,4264042
29-Jul-16,161.01,161.55,156.23,159.60,7858345
28-Jul-16,166.90,167.86,165.15,165.63,3594349
27-Jul-16,164.00,165.67,162.82,165.50,2036274
26-Jul-16,159.89,164.79,159.46,164.03,2697497
25-Jul-16,159.30,160.37,157.54,160.25,2921069
22-Jul-16,162.06,162.64,160.45,160.88,1595283
21-Jul-16,161.47,162.87,160.60,161.40,2357963
20-Jul-16,161.21,161.79,159.50,160.65,3332684
19-Jul-16,162.90,165.28,159.11,161.19,4350770
18-Jul-16,162.74,165.01,160.75,164.79,2327005
15-Jul-16,164.86,165.26,161.85,162.74,2378125
14-Jul-16,166.65,166.80,163.61,164.85,2079581
13-Jul-16,165.38,166.00,162.57,164.16,2320792
12-Jul-16,169.89,172.76,163.91,164.98,3557614
11-Jul-16,160.70,167.90,160.70,167.03,4073113
8-Jul-16,159.21,161.05,155.28,159.80,6899544
7-Jul-16,162.50,165.86,161.56,163.42,2013860
6-Jul-16,160.98,161.87,157.88,161.56,2157219
5-Jul-16,164.42,165.50,161.00,161.87,2364987
1-Jul-16,165.24,166.62,162.90,165.19,1775624
30-Jun-16,165.07,165.26,162.10,165.15,1809348
29-Jun-16,163.10,166.50,162.14,164.41,2468274
28-Jun-16,160.10,162.98,159.56,160.41,2171923
27-Jun-16,158.24,158.55,155.28,156.92,3210622
24-Jun-16,158.87,163.63,158.01,159.12,3182307
23-Jun-16,163.51,164.96,162.55,163.92,2028534
22-Jun-16,162.49,165.52,161.00,162.22,2778642
21-Jun-16,167.44,168.39,162.72,162.80,3036262
20-Jun-16,165.57,172.29,165.57,166.53,3463900
17-Jun-16,165.42,165.84,161.85,162.68,3220723
16-Jun-16,160.58,166.17,159.50,165.52,4452812
15-Jun-16,161.61,162.18,160.06,161.03,3771047
14-Jun-16,159.26,170.19,159.13,160.84,10154418
13-Jun-16,161.01,164.86,160.00,163.55,3829940
10-Jun-16,166.58,167.45,164.00,164.28,2446845
9-Jun-16,168.00,169.30,166.15,168.99,2262192
8-Jun-16,172.04,172.20,168.46,168.71,2484804
7-Jun-16,175.87,175.87,170.81,170.86,2401216
6-Jun-16,174.73,176.06,173.80,174.62,1873716
3-Jun-16,176.64,177.50,172.33,173.74,2961723
2-Jun-16,177.20,179.00,174.75,175.64,3210421
1-Jun-16,176.53,177.77,174.26,176.53,4783342
31-May-16,185.15,185.51,176.61,178.54,24063046
27-May-16,178.29,185.28,178.28,185.01,5596294
26-May-16,176.19,177.78,175.00,177.67,3538585
25-May-16,176.99,178.81,175.21,176.71,3567484
24-May-16,171.55,178.11,169.92,175.91,4626709
23-May-16,170.69,171.50,169.43,169.77,1623560
20-May-16,169.41,171.10,168.33,170.05,2241042
19-May-16,168.75,169.83,164.93,168.51,2409796
18-May-16,169.75,171.53,167.67,169.45,3220715
17-May-16,168.59,172.95,167.65,171.04,5061349
16-May-16,161.92,168.95,161.31,167.96,5488129
13-May-16,160.66,162.71,159.12,159.75,3127002
12-May-16,164.04,164.50,158.38,161.28,4101087
'
